#,RefDes,Name,Part,Value,Quantity,VENDOR,
1,2to4_Dec1,2to4_Dec,Part 1,,1,Digi-key,
2,3to8_MotorIn,SN74HC138PWR,Part 1,,1,Digi-key,
3,3V3Reg1,NCP1117ST33T3G,Part 1,,1,Digi-key,
4,BATTERY,XT60,Part 1,,1,Ignore,
5,"BB1, BB2",StepUp/StepDown,Part 1,,2,Pololu,headers and parts
6,"BM, FM",644456-4,Part 1,,2,Digi-key,IGNORE (opt headers)
7,"BMD, FMD",TB6612FNG,Part 1,,2,Digi-key,
8,"C1, C2, C12, C14, C16, C18, C24, C25, C26",CAP_0603,Part 1,.1u,9,Digi-key,
9,C5,CAP_0603,Part 1,470n,1,Digi-key,
10,"C6, C7",CAP_0603,Part 1,.22u,2,Digi-key,
11,C8,CAP_0603,Part 1,1n,1,Digi-key,
12,"C9, C13, C15, C17, C19, C20, C23",CAPAE_4.3x4.3h5.4,Part 1,10u,7,Digi-key,
13,"C10, C11",CAP_0603,Part 1,12p,2,Digi-key,
14,"C21, C22",CAP_0603,Part 1,100n,2,Digi-key,
15,C27,CAP_0603,Part 1,10u,1,Digi-key,
16,"IR-FL, IR-FR, IR-L, IR-R",IR Jumper,Part 1,,4,Pololu,headers and parts
17,J1,87758-08,Part 1,,1,Ignore,headers (optional)
18,"LED1, LED2, LED5",LED_0603,Part 1,White,3,Digi-key,
19,LED3,LED_0603,Part 1,RED,1,Digi-key,
20,LED4,LED_0603,Part 1,BLUE,1,Digi-key,
21,MSP430,MSP430F5529IPNR,Part 1,,1,Ignore,
22,Q1,CRYSTAL,Part 1,32kHz,1,Digi-key,
23,R1,RES_0603,Part 1,47k,1,Digi-key,
24,"R2, R3, R4, R5, R6, R7, R8, R9, R15",RES_0603,Part 1,1k,9,Digi-key,
25,R14,RES_0603,Part 1,2.91k,1,Digi-key,
26,"ReflectA, ReflectB",644456-3,Part 1,,2,Pololu,headers and parts
27,"S1, S2, S3, S4",PUSHBUTTON_NO,Part 1,,4,Pololu,
28,S5,7101K2CBE,Part 1,,1,Ignore,tech office switch
29,SBW,HDR-2x2,Part 1,,1,Ignore,headers only
,,,,,66,,
